fixture_id	Memory Location	Memory Purpose	Purpose Code
T1-W-295	campus-wiki/route-changes/36-offer-accessible-option	Procedural Policy	PP
T1-W-296	campus-wiki/route-changes/37-emergency-directions	Procedural Policy	PP
T1-W-297	campus-wiki/route-changes/38-west-stop-main	Knowledge Base	KB
T1-W-298	campus-wiki/route-changes/39-shuttle-library-route	Knowledge Base	KB
T1-W-299	campus-wiki/route-changes/40-bicycle-dismount	Knowledge Base	KB
T1-W-300	campus-wiki/route-changes/41-no-unmapped-shortcut	Procedural Policy	PP
T1-Q-001	campus-wiki/construction-details/work-bundles/01	Procedural Policy	PP
T1-Q-053	campus-wiki/construction-details/work-bundles/01-plant-measurement	Procedural Policy	PP
T1-Q-054	campus-wiki/construction-details/work-bundles/01-electrical-records	Procedural Policy	PP
T1-Q-002	campus-wiki/construction-details/work-bundles/02-pump-alignment	Knowledge Base	KB
T1-Q-031	campus-wiki/construction-details/work-bundles/02-pipe-replacement	Knowledge Base	KB
T1-Q-003	campus-wiki/construction-details/work-bundles/03-controller-renewal	Knowledge Base	KB
T1-Q-032	campus-wiki/construction-details/work-bundles/03-drive-alignment	Knowledge Base	KB
T1-Q-033	campus-wiki/construction-details/work-bundles/03-door-sensors	Knowledge Base	KB
T1-Q-004	campus-wiki/construction-details/work-bundles/04-fire-interlock	Knowledge Base	KB
T1-Q-034	campus-wiki/construction-details/work-bundles/04-detector-replacement	Knowledge Base	KB
T1-Q-005	campus-wiki/construction-details/work-bundles/05	Procedural Policy	PP
T1-Q-006	campus-wiki/construction-details/work-bundles/06	Procedural Policy	PP
T1-Q-007	campus-wiki/construction-details/work-bundles/07-front-entrance	Knowledge Base	KB
T1-Q-055	campus-wiki/construction-details/work-bundles/07-front-slip-finish	Knowledge Base	KB
T1-Q-056	campus-wiki/construction-details/work-bundles/07-front-handrail	Knowledge Base	KB
T1-Q-035	campus-wiki/construction-details/work-bundles/07-accessible-ramp	Knowledge Base	KB
T1-Q-057	campus-wiki/construction-details/work-bundles/07-ramp-slip-finish	Knowledge Base	KB
T1-Q-058	campus-wiki/construction-details/work-bundles/07-ramp-handrail	Knowledge Base	KB
T1-Q-008	campus-wiki/construction-details/work-bundles/08	Procedural Policy	PP
T1-Q-009	campus-wiki/construction-details/work-bundles/09	Procedural Policy	PP
T1-Q-059	campus-wiki/construction-details/work-bundles/09-water-supply	Procedural Policy	PP
T1-Q-060	campus-wiki/construction-details/work-bundles/09-sewage	Procedural Policy	PP
T1-Q-010	campus-wiki/construction-details/work-bundles/10	Knowledge Base	KB
T1-Q-061	campus-wiki/construction-details/work-bundles/10-detector-test	Knowledge Base	KB
T1-Q-062	campus-wiki/construction-details/work-bundles/10-smoke-control-test	Knowledge Base	KB
T1-Q-063	campus-wiki/construction-details/work-bundles/10-ventilation-test	Knowledge Base	KB
T1-Q-064	campus-wiki/construction-details/work-bundles/10-interlock-check	Knowledge Base	KB
T1-Q-011	campus-wiki/construction-details/work-bundles/11	Knowledge Base	KB
T1-Q-065	campus-wiki/construction-details/work-bundles/11-leak-check	Knowledge Base	KB
T1-Q-066	campus-wiki/construction-details/work-bundles/11-access-panel-restoration	Knowledge Base	KB
T1-Q-012	campus-wiki/construction-details/work-bundles/12	Procedural Policy	PP
T1-Q-047	campus-wiki/construction-details/work-bundles/13	Other Model	OM
T1-Q-013	campus-wiki/construction-details/dependencies/01	Procedural Policy	PP
T1-Q-014	campus-wiki/construction-details/dependencies/02	Procedural Policy	PP
T1-Q-015	campus-wiki/construction-details/dependencies/03	Procedural Policy	PP
T1-Q-016	campus-wiki/construction-details/dependencies/04	Procedural Policy	PP
T1-Q-017	campus-wiki/construction-details/dependencies/05	Procedural Policy	PP
T1-Q-018	campus-wiki/construction-details/dependencies/06	Procedural Policy	PP
T1-Q-048	campus-wiki/construction-details/dependencies/07	Other Model	OM
T1-Q-019	campus-wiki/construction-details/report-status/01-public-visual-complete	Knowledge Base	KB
T1-Q-036	campus-wiki/construction-details/report-status/01-plant-review-progress	Knowledge Base	KB
T1-Q-020	campus-wiki/construction-details/report-status/02-crack-map-draft	Knowledge Base	KB
T1-Q-037	campus-wiki/construction-details/report-status/02-priority-approval-pending	Knowledge Base	KB
T1-Q-021	campus-wiki/construction-details/report-status/03-detector-count-complete	Knowledge Base	KB
T1-Q-038	campus-wiki/construction-details/report-status/03-smoke-control-incomplete	Knowledge Base	KB
T1-Q-022	campus-wiki/construction-details/report-status/04-panel-list-approved	Knowledge Base	KB
T1-Q-039	campus-wiki/construction-details/report-status/04-transfer-result-empty	Knowledge Base	KB
T1-Q-023	campus-wiki/construction-details/report-status/05-no-early-final-report	Procedural Policy	PP
T1-Q-040	campus-wiki/construction-details/report-status/05-not-started	Knowledge Base	KB
T1-Q-049	campus-wiki/construction-details/report-status/06	Other Model	OM
T1-Q-024	campus-wiki/construction-details/material-control/01-east-storage	Knowledge Base	KB
T1-Q-067	campus-wiki/construction-details/material-control/01-east-tools	Knowledge Base	KB
T1-Q-041	campus-wiki/construction-details/material-control/01-west-storage	Knowledge Base	KB
T1-Q-068	campus-wiki/construction-details/material-control/01-west-cable-supports	Knowledge Base	KB
T1-Q-025	campus-wiki/construction-details/material-control/02	Procedural Policy	PP
T1-Q-069	campus-wiki/construction-details/material-control/02-fire-equipment-clearance	Procedural Policy	PP
T1-Q-026	campus-wiki/construction-details/material-control/03-staff-door	Procedural Policy	PP
T1-Q-042	campus-wiki/construction-details/material-control/03-ramp-checkpoint	Procedural Policy	PP
T1-Q-050	campus-wiki/construction-details/material-control/04	Other Model	OM
T1-Q-027	campus-wiki/construction-details/verification/01	Procedural Policy	PP
T1-Q-070	campus-wiki/construction-details/verification/01-fire-access	Procedural Policy	PP
T1-Q-071	campus-wiki/construction-details/verification/01-temporary-lighting	Procedural Policy	PP
T1-Q-028	campus-wiki/construction-details/verification/02	Procedural Policy	PP
T1-Q-051	campus-wiki/construction-details/verification/03	Other Model	OM
T1-Q-029	campus-wiki/construction-details/query-policy/01-no-list-copy	Procedural Policy	PP
T1-Q-072	campus-wiki/construction-details/query-policy/01-no-report-copy	Procedural Policy	PP
T1-Q-073	campus-wiki/construction-details/query-policy/01-no-material-copy	Procedural Policy	PP
T1-Q-074	campus-wiki/construction-details/query-policy/01-no-access-copy	Procedural Policy	PP
T1-Q-043	campus-wiki/construction-details/query-policy/01-query-minimum	Procedural Policy	PP
T1-Q-030	campus-wiki/construction-details/query-policy/02-in-scope-only	Procedural Policy	PP
T1-Q-075	campus-wiki/construction-details/query-policy/02-inspection-report-scope	Procedural Policy	PP
T1-Q-044	campus-wiki/construction-details/query-policy/02-fixed-refusal	Procedural Policy	PP
T1-Q-045	campus-wiki/construction-details/query-policy/02-no-unrelated-content	Procedural Policy	PP
T1-Q-076	campus-wiki/construction-details/query-policy/02-no-guess	Procedural Policy	PP
T1-Q-046	campus-wiki/construction-details/query-policy/02-no-real-institution-evidence	Procedural Policy	PP
T1-Q-077	campus-wiki/construction-details/query-policy/02-no-real-inspection-evidence	Procedural Policy	PP
T1-Q-078	campus-wiki/construction-details/query-policy/02-no-real-safety-evidence	Procedural Policy	PP
T1-Q-052	campus-wiki/construction-details/query-policy/03	Other Model	OM
